pollster,grade,score,N,ADJpoint_est_error,ADJmargin_error_favor_trump,ADJabs_margin_error,ADJrightcall,ADJerror,point_est_error,margin_error_favor_trump,margin_poll,margin_actual,abs_margin_error,bias,Mpoint_est_error,Mmargin_error_favor_trump,Mabs_margin_error,rightcall,RADJpoint_est_error,RADJmargin_error_favor_trump,RADJabs_margin_error,RADJerror,Rpoint_est_error,Rmargin_error_favor_trump,Rabs_margin_error,Rbias,RADJrightcall,Rrightcall,Overall_Rank,ROverall_Rank
"Clarity Campaign Labs","B/C",8,12,-.5071645,-.8904222,-1.050662,-.0455481,-1.051611,3.32625,-3.490833,1.166667,-2.324167,3.499166,3.490833,3.791151,-2.674613,4.462274,.5416667,25,45,15,15,16,13,14,118,115,130,20,11
"Swayable","D-",14,22,-.8441075,-.9853973,-.7002934,.0022676,-.7001458,7.573864,6.441363,12.9,19.34318,12.02045,,8.379602,7.381969,12.68892,.7727273,9,40,35,35,132,135,137,,79,90,22,12
"Marist College","A+",2,183,-.7434866,.0592278,-.733823,.0226466,-.7336897,3.666421,1.659617,8.002732,9.662786,5.444208,-.3561062,4.405845,1.600713,6.174021,.8360656,13,84,32,32,27,98,74,51,51,60,22.5,13
"Fleming & Associates","A/B",4,17,-.178117,.8922675,-1.544755,.1693376,-1.544755,5.625294,1.516471,9.476471,10.99353,4.987058,-1.436,5.751024,.8866351,6.077474,1,40,100,6,6,102,95,59,35,4,1,23,14
"JMC Analytics","B/C",8,11,-.2042312,1.681483,-1.173534,.0005952,-1.174116,4.152727,2.960001,2.409091,5.371818,5.585455,-2.962727,4.338392,1.43138,6.652304,.8636364,36,123,14,14,43,116,82,15,85,48,25,15
"SurveyUSA","A",1,787,-.8794125,-.1620676,-.4599994,.0172461,-.4599757,3.291842,-.0219567,3.990495,3.968297,4.690521,.1037959,4.09974,.1269313,5.113112,.8939009,8,73,45,45,13,57,48,62,57,37,26.5,16
"Remington Research Group","C-",11,39,-.601207,1.542842,-.6643109,.1105596,-.6644251,3.378462,-1.869744,-.5384616,-2.408205,4.936924,2.011579,3.964253,-3.373026,5.584201,.6923077,18,120,39,39,18,35,57,99,11,113,28.5,17
"Selzer & Co.","A+",2,48,-.1215841,-.2257195,-1.22362,.0676883,-1.223575,4.751458,.6599999,2.760417,3.419167,4.640417,.156129,4.870509,.8810169,5.838544,.7916667,44,70,13,13,63,77,47,63,24,82,28.5,17
"Maine People's Resource Center","B/C",8,14,-.5626847,.6953573,-.6967043,.0527211,-.6959897,4.1725,-.3778565,7.910714,7.533571,6.406428,.4616666,4.735184,-1.073214,7.103132,.9285714,22,98,37,37,44,52,99,69,29,24,29.5,19
"Angus Reid Global","B+",6,30,-.1184358,-.6684175,-1.040082,.0754184,-1.040586,3.037833,2.567,5.9,8.468,3.224333,-2.568,3.156269,3.235418,4.264415,.9333333,45,55,16,16,9,110,10,17,19,22,30.5,20
"Vox Populi Polling","B/C",8,19,-.5706095,.9837965,-.6630574,.0560373,-.6604707,3.026579,-.6836845,-1.842105,-2.526316,4.166842,.6842105,3.597188,-1.667481,4.8299,.7368421,21,104,41,41,8,44,33,76,27,100,31,21
"Ward Research (Honolulu Star-Advertiser)","B/C",8,15,.0420239,-1.190476,-1.431809,-.0059524,-1.431048,5.851,1.378,16.53333,17.91333,5.852667,-1.38,5.811778,2.489111,7.189023,.8,53,35,10,10,111,92,91,36,94,77,31.5,22
"Siena College","A-",3,53,-.4807254,.3637737,-.666031,.028252,-.6664076,4.547359,1.255471,7.056604,8.312076,4.930566,-1.096123,4.91924,.9740615,5.445797,.8962264,26,91,38,38,55,87,56,39,46,35,32,23
"Research & Polling Inc.","B+",6,32,-.2476884,.3044928,-.5373381,-.0120773,-.5374469,4.331407,1.861562,2.15625,4.017813,4.537188,-1.754839,4.509432,1.642708,4.9234,.84375,31,89,42,43,48,101,43,29,99,57,36.5,24
"University of Cincinnati (Ohio Poll)","A/B",4,39,-.6598655,1.498412,-.2643381,.0121238,-.2638394,2.725513,2.745385,-1.674359,1.071538,3.85,-3.208667,3.385378,1.246973,4.114338,.9358974,16,118,57,57,5,113,20,13,60,21,36.5,24
"Fox News/Beacon Research/Shaw & Co. Research","A-",3,40,.1111183,-1.170637,-.8763052,.0073602,-.875555,4.62625,.1975,2.5875,2.7835,5.5995,2.6676,4.515132,1.368137,6.475805,.7125,54,37,21,21,57,64,84,109,71,108,37.5,26
"Blum & Weprin Associates","A/B",4,19,.3482846,-1.263795,-1.840085,.0331192,-1.840085,5.434474,2.801579,-2.578947,.2252631,4.838421,-3.371765,5.086189,4.065374,6.678506,.9473684,71,31,5,5,94,114,52,11,43,16,38,27
"Magellan Strategies","B/C",8,18,.3033639,1.252944,-1.43614,.014623,-1.436407,6.793056,1.273888,9.7,10.97389,6.461667,-1.833636,6.540252,.2297682,7.65845,.9444444,67,110,9,9,127,88,105,28,59,19,38,27
"RT Strategies","B/C",8,42,-1.028699,-2.370524,.0634766,.0036765,.0629906,3.238452,-2.169762,3.130952,.9611905,5.897857,2.169762,4.071209,-.2507658,5.846471,.6904762,5,18,79,79,11,32,92,104,74,114,42,29
"Harris Insights & Analytics","C",9,169,-.7256987,-.3963496,-.0895481,-.0003001,-.0893804,3.397367,1.520888,-2.488757,-.9668639,5.139704,-1.521894,4.101595,1.905511,5.226603,.8343195,14,66,71,71,19,96,65,33,90,61,42.5,30
"Emerson College","A-",3,165,-.30728,.4483886,-.3239866,.01,-.3241619,4.007455,.2432728,3.86,4.10297,5.448606,.3619512,4.296112,-.1779408,5.752957,.8030303,30,92,56,56,36,66,75,66,65,76,43,31
"Strategic Vision LLC","F",15,133,-.2064425,1.449671,-.386592,.0438187,-.3869524,3.420413,2.514662,2.781955,5.296165,3.811955,-2.184,3.626856,1.064991,4.198547,.8872181,35,116,52,52,20,109,19,22,35,38,43.5,32
"Harper Polling","B/C",8,11,.2619851,.0927009,-.8058974,.1278679,-.8066347,4.457272,-2.138181,8,5.863636,3.565454,.5125,4.195287,-2.230882,4.371351,.9090909,62,85,25,25,53,33,15,70,8,30,43.5,32
"Quinnipiac University","B+",6,207,-.5090501,-.1756596,-.1393492,.0033062,-.1391946,3.562029,.6625122,3.966184,4.628067,4.592174,.2190196,4.071079,.8381718,4.731523,.8309179,24,72,65,65,25,78,45,64,77,66,44.5,34
"New England College","B/C",8,19,-.5981271,1.778904,-.0946576,-.0726974,-.0954473,3.197894,3.135789,1.773684,4.91,4.176842,-3.136316,3.796021,1.356885,4.2715,.7368421,19,125,70,70,10,120,34,14,121,100,44.5,34
"Garin-Hart-Yang Research Group","B/C",8,24,.3091574,-3.561868,-.8328655,.0985676,-.8344442,4.825208,-3.227917,3.291667,.065,5.53375,3.226667,4.541814,.0371291,6.29721,.8541667,68,7,22,22,68,17,79,116,14,52,45,36
"Susquehanna Polling & Research Inc.","C",9,38,-.1431568,-.8043467,-.4248541,.0036482,-.4246171,4.807631,-1.391579,.2894737,-1.101316,5.797894,1.706364,4.916883,-.7777351,6.122125,.7631579,43,49,47,47,66,39,89,95,75,92,45,36
"YouGov","B",5,416,-.1440829,.0068488,-.4060514,.0236767,-.4060263,3.986142,.4649761,2.298558,2.763197,4.913005,.3987675,4.122952,.458473,5.298558,.8846154,42,82,49,49,35,69,55,68,50,39,45.5,38
"Gallup","B",5,84,-.8063528,.644875,.1114633,.0012834,.1119802,2.928035,.8667857,.9375,1.805357,4.284881,-.7473913,3.734388,.2219107,4.173418,.6904762,10,97,84,84,6,80,36,44,82,114,47,39
"Research Co.","B-",7,21,.0366701,-.834752,-.5370129,.0198867,-.5380332,4.107619,.5076197,10.09524,10.60571,4.090477,-1.0695,4.070949,1.342372,4.627489,.8809524,52,47,43,42,40,73,31,40,53,41,47.5,40
"MassINC Polling Group","A/B",4,18,.159127,1.635414,-.6641823,.0179343,-.662894,4.703055,4.118333,7.75,11.86667,4.886111,-2.414167,4.552769,2.573776,5.513394,.8333333,57,122,40,40,61,126,54,20,55,62,48.5,41
"Pharos Research Group","F",15,33,-.3157137,-.8738889,-.1057176,.0602146,-.1048671,2.460606,-1.607878,-4.228182,-5.835454,3.782424,1.607273,2.77632,-.7339894,3.888142,.9242424,28,46,69,69,3,37,16,93,26,26,48.5,41
"NBC News/The Wall Street Journal","A-",3,31,-.0565562,-.7979313,-.3879395,.0397239,-.3875784,3.876129,-.5819354,3.725806,3.144516,3.999355,1.236923,3.932685,.2159959,4.387294,.7258065,47,50,51,51,34,49,29,88,40,103,49,43
"RKM Research and Communications Inc.","A-",3,34,.3685653,.9717781,-.7774075,-.0075283,-.7782868,5.383824,1.721764,4.367647,6.088235,5.291176,-.4570001,5.026099,.778568,6.045719,.8676471,72,103,28,27,91,99,70,48,95,47,50,44
"Columbus Dispatch","B/C",8,22,-.9801717,-3.403502,.4032408,-.0097665,.4017292,2.564773,-3.939545,4,.0613635,5.07409,2.958235,3.544944,-.5360435,4.67085,.9318182,6,9,96,96,4,9,60,115,97,23,51,45
"Mason-Dixon Polling & Strategy","B+",6,433,.1499985,.9002547,-.4074438,.0077717,-.4073941,4.562067,1.445936,-.7709007,.6754734,5.118129,-.6999468,4.423154,.6122124,5.495462,.8683603,55,101,48,48,56,93,61,46,69,46,51.5,46
"MRG Research","B/C",8,22,-.1976558,1.243083,-.1305401,.0750446,-.1299122,4.398182,5.074544,11.59091,16.66636,7.102726,-5.507143,4.550916,4.11398,7.203598,.8181818,38,109,67,67,52,128,117,5,20,70,52.5,47
"Christopher Newport University","B/C",8,10,.3709424,-1.001354,-.7233261,.1255297,-.723183,5.563,.0580008,5.8,5.858,5.946,2.731111,5.192058,1.059355,6.669326,1,73,38,33,33,99,58,95,112,9,1,53,48
"DHM Research","B/C",8,14,.8239557,-.961251,-1.467579,.0412587,-1.466075,5.0725,2.217857,3.785714,6.002143,4.376429,-.32,4.307398,3.110447,5.739181,.8571429,99,42,8,8,80,108,39,53,38,49,53.5,49
"St. Pete Polls","C",9,22,-.5452563,-.1079082,.2662971,-.0177642,.2660333,3.504318,.1286368,3.320454,3.450909,4.413182,-.922381,3.950437,.2169253,4.195302,.5227273,23,74,90,90,22,61,41,41,102,132,56.5,50
"CNN/Opinion Research Corp.","B+",6,103,-.6142427,-.209223,.4844514,-.0476059,.4848368,3.275194,1.132913,4.126214,5.258835,5.547476,.0194366,3.889437,1.342136,5.063024,.723301,17,71,100,100,12,86,80,60,117,104,58.5,51
"Gravis Marketing","C",9,132,-.1983455,.0405985,.0808359,-.0337447,.080721,3.685606,-.2016668,4.545455,4.342576,5.270152,1.060874,3.873433,-.2401124,5.193603,.6818182,37,83,82,82,28,55,69,84,108,117,59.5,52
"University of New Orleans","B/C",8,12,.1836894,-1.196303,-.2007915,-.0041667,-.2029727,5.90125,-1.605833,-3.958333,-5.565833,5.595833,.9909091,5.717561,-.4095297,5.796625,.8333333,59,34,60,60,114,38,83,81,93,62,59.5,52
"St. Norbert College","A/B",4,12,.2982908,-2.034871,-.3726228,.0269511,-.3723843,4.079167,-.678333,-.6666667,-1.346667,3.871666,.9418182,3.780876,1.356538,4.244289,.875,66,24,53,53,39,45,22,80,48,45,59.5,52
"SEA Polling & Strategic Design","B/C",8,12,.7875828,-.0048876,-.829165,.1682408,-.8321784,4.78,-1.74,3.25,1.51,3.025,2.169,3.992417,-1.735112,3.854165,.8333333,96,80,23,23,65,36,8,103,5,62,59.5,52
"Grove Insight","A/B",4,29,.8929043,-2.761914,-1.030654,.1776132,-1.031113,4.237069,-1.08862,4.586207,3.497586,3.025172,1.088621,3.436534,1.387579,3.949206,.8965517,102,12,17,17,46,41,9,86,2,34,59.5,52
"Stockton University","A/B",4,10,.5665479,-.6260582,-.7496167,0,-.752209,4.1495,-2.300999,1.65,-.6510001,4.007,2.301,3.809572,-1.925364,4.45677,1,89,56,31,30,42,31,30,105,87,1,60,57
"KRC/Communications Research","A/B",4,22,-.0188851,-1.381083,.046817,.0068487,.0473623,5.423409,.2722719,9.136364,9.408182,7.130455,.7254546,5.442294,1.653355,7.083637,.9090909,48,30,76,76,93,67,118,77,72,30,62,58
"American Research Group","B",5,273,-.3118377,.6196796,.4167511,-.0464188,.4167135,4.871117,3.011172,6.659341,9.67044,7.404359,-.2417073,5.177244,2.402842,6.995241,.7509158,29,95,97,97,71,118,123,55,116,94,63,59
"Rasmussen Reports/Pulse Opinion Research","C+",10,722,-.2214568,.9948654,.2748023,-.0134917,.2745883,3.747541,2.187715,.6704986,2.858172,5.261399,-1.560362,3.966851,1.202495,4.989261,.7770083,34,106,92,92,30,107,68,31,100,87,63,59
"Research 2000","F",15,280,-.1495775,-.4685761,.2293426,.0076609,.229145,4.354197,-.8776782,2.564286,1.685929,5.453464,1.542339,4.488816,-.4559597,5.247056,.8785715,41,62,88,88,50,42,76,91,70,44,64.5,61
"Ciruli Associates","A/B",4,16,.6852534,1.603949,-.7119153,.0704155,-.7119152,5.086563,2.091875,-12.46875,-10.37687,3.470625,-2.091875,4.401309,.4879259,4.18254,.9375,95,121,34,34,81,104,13,24,23,20,64.5,61
"Market Research Insight","B/C",8,11,.2298796,-2.705726,-.1226055,0,-.1251508,5.310454,-3.928181,7.636364,3.712727,4.842727,3.923636,5.080575,-1.222455,4.965333,1,61,13,68,68,88,10,53,123,87,1,64.5,61
"Lake Research Partners","B/C",8,10,.864329,-2.947087,-.7503814,.0439076,-.7517255,4.341,-2.414,3.2,.785,3.934,2.415,3.73597,-.3510391,4.459267,.8,101,11,30,31,49,29,28,106,34,77,65.5,64
"Richard Day Research Inc.","B/C",8,11,.4514464,.2757906,-.3954201,.0920513,-.3952201,5.743182,2.870001,6.272727,9.142727,5.493637,-2.87,5.332776,2.619282,5.853109,1,81,88,50,50,104,115,77,16,15,1,65.5,64
"SurveyMonkey","D-",14,210,-.245214,-1.176739,.4589709,-.0041085,.4591862,4.305524,-5.004571,1.630952,-3.374619,7.132857,5.557817,4.54957,-3.833436,6.676072,.8404762,32,36,99,99,47,4,119,134,92,58,65.5,64
"Fairleigh Dickinson University (PublicMind)","A/B",4,19,.9700324,-2.367084,-.7690848,-.027563,-.7673202,5.672631,-.3336846,9.263158,8.928421,3.914737,.0661111,4.804708,1.784233,4.602866,.9473684,104,19,29,29,103,53,26,61,105,16,66.5,67
"Field Research Corp. (Field Poll)","A/B",4,25,1.570239,-.604764,-1.521907,.053037,-1.521354,6.2688,2.6272,11.04,13.6692,3.9088,-2.452778,4.698561,3.231964,5.430707,1,126,57,7,7,120,112,25,18,28,1,66.5,67
"Siena College/The New York Times Upshot","A+",2,59,.5821719,-.4187432,-.4611264,.0000445,-.4613098,4.652288,.3574576,.790678,1.147627,3.888305,-.425,4.247728,.6484486,4.208749,.6864407,90,64,44,44,59,68,23,49,86,116,67,69
"National Research Inc.","A/B",4,10,1.189858,2.708256,-.8154109,.1428571,-.8143005,6.075,.1219999,1.5,1.622,5.134001,-3.304286,5.004128,-2.315431,5.86787,.75,113,129,24,24,118,60,63,12,6,95,68.5,70
"University of Massachusetts Amherst","B/C",8,11,.0231718,1.429663,.166197,.003367,.1643785,4.973182,3.63,23.54545,27.17182,6.424546,-6.065,4.95001,2.200337,6.258348,1,51,114,87,87,75,122,101,1,76,1,69,71
"OnMessage Inc.","B/C",8,11,.2905363,4.927233,.028391,.0465241,.0300279,4.961818,4.998181,-4.181818,.8181819,6.385454,-5,4.697694,.518879,6.359644,.8181818,64,138,74,74,73,127,98,6,32,70,69,71
"Pan Atlantic Research","B/C",8,17,.4584069,-.514608,-.2325307,.0091036,-.2315994,6.951765,-3.644706,4.2,.5529411,6.831764,2.694666,6.493358,-3.130098,7.064295,.9117647,82,60,59,59,128,12,112,111,66,29,70.5,73
"CBS News/The New York Times","A",1,62,.424291,-1.431845,-.1741367,.0390437,-.1741235,4.952661,.1901617,6.483871,6.675968,4.347903,.7431372,4.52837,1.622006,4.52204,.7580645,80,29,62,62,72,63,38,78,41,93,71,74
"Western New England University","A/B",4,10,1.481037,-2.085476,-.9052808,.0748626,-.9042802,6.299999,-.2439999,10.4,10.154,4.316,-1.13,4.818962,1.841476,5.221281,1,123,22,20,20,122,54,37,38,21,1,71.5,75
"Change Research","C-",11,65,-.4724477,-.7465116,.9333054,-.040927,.9337856,4.041846,-.5439996,-1.746154,-2.290154,6.58277,1.558772,4.383462,-.0042143,5.907918,.7692308,27,53,118,118,37,50,108,92,111,91,72.5,76
"Los Angeles Times","A/B",4,36,.4704091,-.0365523,-.1617547,.010549,-.1623466,5.440556,1.334445,8.125,9.459167,4.630001,-.2991305,4.983213,1.369982,4.787262,.8472222,84,78,63,63,95,90,46,54,62,55,73.5,77
"GQR Research (GQRR)","B",5,57,-.1966601,-2.581749,.6485694,-.0992921,.6468105,3.549123,-3.121053,4.464912,1.345439,4.518948,3.626909,3.731982,-.7204794,3.915892,.5614035,39,15,108,108,24,18,42,119,127,129,73.5,77
"Pew Research Center","B/C",8,25,-.069392,-.9701253,.496157,-.0756734,.4959486,3.5644,-2.0936,2.38,.288,4.3904,2.092,3.633792,-1.123475,3.894243,.5,46,41,102,102,26,34,40,101,122,133,74,79
"National Journal","A/B",4,12,1.185389,-.3027058,-.697745,.1047138,-.6984249,4.061667,.626667,8.333333,8.958333,2.59,-.6249999,2.876278,.9293728,3.287745,1,112,69,36,36,38,76,2,47,13,1,74,79
"IBD/TIPP","A/B",4,27,.9663447,1.459443,-.4450347,.0117555,-.4431654,3.810925,1.896667,1.105556,3.005926,2.246297,-1.90037,2.844581,.4372238,2.691331,.7777778,103,117,46,46,31,102,1,27,61,86,74.5,81
"EPIC-MRA","B+",6,49,.5270596,.0013288,-.056742,-.0183787,-.0568517,5.056326,.9220411,6.969388,7.891837,5.507348,-.3783334,4.583049,.9208479,5.5583,.7755102,86,81,72,72,79,83,78,50,103,88,79,82
"Tarrance Group","B/C",8,28,.2941147,3.764744,.3363438,-.0526129,.337579,5.492857,3.450714,-3.535714,-.0842857,6.221429,-2.439167,5.240759,.223791,5.933134,.8214286,65,136,94,94,97,121,97,19,118,67,79.5,83
"Muhlenberg College","A+",2,29,.9942094,-.0612278,-.3716413,.010279,-.3705922,4.646724,.9189658,4.189655,5.106552,3.394828,-.3446429,3.686798,.9780823,3.753654,.8448276,105,76,54,54,58,82,12,52,63,56,79.5,83
"Georgetown University (Battleground)","A/B",4,35,.4207667,1.448952,.0729914,.0245381,.0750531,3.840571,1.36,-.0285714,1.334286,3.369143,-1.362857,3.419804,-.0889523,3.296152,.5714286,79,115,81,81,32,91,11,37,49,128,80,85
"Princeton Survey Research Associates International","A/B",4,35,.0145664,-.4407938,.755348,.0006901,.7558333,3.742714,-1.173428,2.957143,1.785714,5.123714,1.229394,3.728148,-.7326342,4.368366,.6285715,49,63,112,112,29,40,62,87,84,123,80.5,86
"Zogby Interactive/JZ Analytics","C+",10,473,.225261,-.0194663,.4846012,-.0191405,.4848988,4.511406,1.084545,2.989429,4.074165,5.409873,-.7308776,4.29186,1.103518,4.937566,.7748414,60,79,101,101,54,85,73,45,104,89,80.5,86
"Opinion Savvy/InsiderAdvantage","B-",7,119,.018916,.5089066,.7223139,-.0362861,.7229385,5.297185,3.091513,3.532773,6.624538,7.222773,1.827619,5.278269,2.582607,6.500459,.697479,50,94,111,111,86,119,121,98,109,111,80.5,86
"Abt Associates","A/B",4,10,1.145328,-.3559403,-.2617631,.1055672,-.2594051,4.386499,-2.824999,.55,-2.277,3.809,3.267778,3.241171,-2.469059,4.070763,.9,108,68,58,58,51,23,18,117,12,33,83,89
"Mitchell Research & Communications","C-",11,66,.2897692,.1130876,.5445665,.0012857,.5445449,5.395833,.4701515,6.520454,6.991061,7.285909,1.362439,5.110455,.3587774,6.749594,.6666667,63,86,106,106,92,70,122,90,81,120,84.5,90
"Elway Research","A/B",4,21,1.331403,-2.956952,-.3457617,.02,-.3467613,5.178095,-2.409523,11.33333,8.924286,3.929524,2.1005,3.910093,.4066214,4.258821,.9047619,117,10,55,55,84,30,27,102,52,32,86,91
"University of Massachusetts Lowell","A/B",4,19,.6826245,.2070208,.0615692,-.0153275,.0619324,5.824474,3.923685,6.5,10.42368,7.211053,-.7744445,5.14185,3.716664,7.149484,.7368421,94,87,78,78,108,124,120,43,101,100,86,91
"Star Tribune","B/C",8,14,.8357803,-2.520509,-.0316473,.0080898,-.0317662,5.345357,-2.827857,5.571429,2.742857,5.902143,5.081666,4.509577,-.3073479,5.93379,.5,100,16,73,73,90,22,93,131,67,133,86.5,93
"Suffolk University","A",1,88,.6503646,-.4077737,.0728824,-.003133,.072865,5.005511,.490114,7.910796,8.400568,5.135569,.9957692,4.355147,.8978877,5.062686,.7897727,93,65,80,80,78,71,64,82,91,84,86.5,93
"University of New Hampshire","B-",7,112,.4687682,-2.194522,.2724463,.0271311,.2727304,5.200313,-3.299196,9.526786,6.227768,5.905803,3.692121,4.739915,-1.143862,5.638222,.8482143,83,21,91,91,85,16,94,120,47,54,87,95
"Ipsos","B-",7,66,.5476078,-.5867394,.1491798,.0042985,.1494318,4.149242,.5878787,1.595455,2.18303,4.582424,.5286667,3.601635,1.174618,4.433244,.7045454,88,58,86,86,41,74,44,71,73,109,87,95
"Public Opinion Strategies","B+",6,64,.594885,2.717879,.0989118,-.0399212,.0993135,5.299609,2.594531,-3.953125,-1.358281,5.744843,-2.379516,4.760495,.1314531,5.655205,.6953125,91,130,83,83,87,111,88,21,110,112,87,95
"SSRS","B/C",8,18,.1519927,-2.489418,1.075414,-.0283457,1.075847,3.852222,-2.568889,1.666667,-.8988889,5.61,2.874375,3.70023,-.0794712,4.534586,.5,56,17,120,120,33,27,85,114,106,133,88,98
"Harstad Strategic Research Inc.","B/C",8,10,1.234661,-2.269784,-.1378885,-.1126781,-.1369995,5.1335,-2.641,-4.6,-7.243,3.783,2.643,4.022305,-.5981938,3.9071,.75,114,20,66,66,82,25,17,108,129,95,90,99
"Financial Dynamics","B/C",8,15,1.423247,1.704949,-.1911153,0,-.1910005,5.522333,1.735336,7.133333,8.868,2.598001,-1.734667,4.099086,.0303865,2.789117,1,121,124,61,61,98,100,3,30,87,1,91,100
"Capital Survey Research Center","B/C",8,13,.3979721,1.223427,.5534263,-.1316434,.5545803,8.165384,8.840001,-8.153846,.6853846,9.673846,.5775,7.767413,7.616574,9.12042,.3461539,77,108,107,107,135,137,133,72,132,136,92,101
"We Ask America","C",9,53,.3206878,-.3749256,.8749477,.015482,.8758788,4.761887,1.528302,2.501698,4.030943,6.907924,-1.553529,4.513807,1.818339,6.231078,.8207547,69,67,117,117,64,97,114,32,58,68,93,102
"TCJ Research","F",15,132,.1652958,2.66881,1.802069,-.1841207,1.80155,3.51125,5.251592,-1.57197,3.679167,6.441288,-5.58879,3.345954,2.582781,4.639219,.5984849,58,128,129,128,23,129,103,3,134,127,93.5,103
"Morning Consult","B/C",8,12,1.530924,.4948691,-.1583162,.0100071,-.1577168,5.762917,-.6291666,4.083333,3.451667,3.002501,.6316667,4.231992,-1.124036,3.160817,.75,125,93,64,64,106,48,6,73,64,95,94.5,104
"Dixie Strategies","B/C",8,11,.3892133,2.826574,.8514037,.0903739,.8511531,4.820909,5.403636,-.8018181,4.601818,6.907273,-4.4775,4.467079,2.834023,6.13327,.9545454,76,132,114,114,67,130,113,7,16,15,95,105
"Fox News/Opinion Dynamics Corp.","A/B",4,34,1.313438,.9714683,.035145,.0079755,.0338239,4.99,.8899999,-1.985294,-1.095882,3.868235,-.9067857,3.676562,-.0814684,3.83309,.7205882,116,102,75,75,76,81,21,42,68,106,95.5,106
"Overtime Politics","F",15,12,.4731758,3.488746,.6543475,-.113736,.6536116,5.847084,6.715834,7.916667,14.63167,9.8275,,5.413339,3.517817,9.227682,.6666667,85,135,109,109,110,136,134,,130,120,97,107
"McLaughlin & Associates","C/D",12,25,.3824935,3.122968,1.181418,-.009627,1.182691,4.691,2.0788,-2.48,-.3984,6.19,-2.0816,4.308506,-1.044168,5.008582,.7,75,133,123,123,60,103,96,25,96,110,99,108
"Big Ten","B/C",8,10,.3810013,-4.818955,1.366492,.1143371,1.365839,3.3085,-4.256999,14.1,9.84,4.702999,4.26,2.927499,.5619564,3.336506,1,74,2,126,126,15,8,49,124,10,1,100,109
"Clout Research/Wenzel Strategies","B/C",8,15,.3266986,3.967315,1.933465,-.3012841,1.931205,5.318334,6.140666,.66,6.798,6.664667,-5.524286,5.078754,3.231302,5.246792,.5333334,70,137,131,131,89,134,109,4,138,131,100.5,110
"Normington, Petts & Associates","B/C",8,10,1.143376,-3.524971,.3566011,-.0984615,.355052,5.783999,-2.671999,4.2,1.528,6.419999,2.672,4.869299,.1479784,6.134718,.6,107,8,95,95,107,24,100,110,126,125,101,111
"Critical Insights","C/D",12,19,.4011317,.3587719,1.458992,-.0109649,1.458947,6.287895,-.0599999,7.263158,7.202106,8.597895,-.2341177,5.886763,-.4187718,7.138903,.8947368,78,90,127,127,121,56,129,56,98,36,102.5,112
